"glacier_name","year","glacier_mass_balance","temperature","precipitation","zonal_wind_speed","relative_humidity","net_solar_radiation"
"Gulkana",1996,-0.54,-7.27959181833333,2.122219,1.48372651833333,0.642713491666667,66.47427525
"Gulkana",1997,-2.01,-5.50415216916667,2.0622321,1.65559325833333,0.723861091666667,63.6268553333333
"Gulkana",1998,-0.52,-5.82153584166667,2.06817096666667,1.70842934166667,0.679807108333333,60.9020985833333
"Gulkana",1999,-1.48,-7.16003531666667,2.80887396666667,1.4308415,0.738667291666667,61.3261193333333
"Gulkana",2000,-0.02,-5.53129408333333,2.30160816666667,2.56438629166667,0.715412283333333,58.37283325
"Gulkana",2001,-1.02,-5.79344010833333,2.03781231666667,1.44196056833333,0.724438841666667,59.1098664166667
"Gulkana",2002,-0.6,-4.98470786666667,2.86277315,2.44035141666667,0.698704016666667,62.8909609166667
"Gulkana",2003,0.51,-5.24402835,2.26932639166667,2.38826289191667,0.688351775,67.1757418333333
"Gulkana",2004,-2.48,-5.18786891666667,2.543641325,2.10517519166667,0.699020783333333,68.3662385833333
"Gulkana",2005,-0.55,-5.05790875,2.68942941666667,1.68395168333333,0.696702666666667,67.128065
"Gulkana",2006,0.52,-7.30521875,2.6183584,1.25570539166667,0.702519408333333,61.9223478333333
"Gulkana",2007,-0.13,-6.28381016666667,2.07577229166667,0.913641343333333,0.729204808333333,68.4964313333333
"Gulkana",2008,1.4,-7.294917075,2.48425590833333,1.62609466666667,0.741664183333334,59.2977896666667
"Gulkana",2009,-0.51,-6.09207475,2.0124763,2.16877424166667,0.705475941666667,67.73504175
"Gulkana",2010,-1.57,-5.59294761666667,2.18547316666667,1.0074498975,0.701239675,63.9528265833333
"Gulkana",2011,-1.58,-6.72746453333333,2.29361959166667,1.29351119166667,0.733896033333333,63.0943361666667
"Gulkana",2012,-0.31,-7.61976906666667,2.52392875833333,0.943198041666667,0.724268975,59.5313645
"Gulkana",2013,-1.13,-5.89726371891667,3.0796315,2.79529731666667,0.727122158333333,62.8536023333333
"Gulkana",2014,0.01,-4.85314843333333,2.13348146666667,1.6270494,0.669060991666667,65.6609845833333
"Gulkana",2015,-1.23,-5.07864929166667,2.58706208333333,2.57025158333333,0.690459033333333,66.37739825
"Gulkana",2016,-1.26,-3.75537341666667,1.98436155833333,1.99749895833333,0.681967383333333,64.2480389166667
"Gulkana",2017,-1.84,-5.43962205833333,2.36053610833333,1.47534586666667,0.711383983333333,66.4162423333333
"Gulkana",2018,-0.36,-4.77361850833333,2.88287308333333,2.46921925,0.679885616666667,61.8737928333333
"Gulkana",2019,-1.46,-3.73179033333333,2.70136975,3.17342006666667,0.708484358333333,65.8426470833333
"Gulkana",2020,-0.21,-6.46583765833333,2.60790295833333,2.19546642833333,0.712323033333333,63.71510825
"Gulkana",2021,-0.71,-6.930325775,2.45813455833333,2.68653481666667,0.703222691666667,64.2907049166667
"Gulkana",2022,-1.05,-5.320893775,3.52821825833333,2.45402437583333,0.724860291666667,63.3776759166667
"Gulkana",2023,-0.4,-5.29472101666667,2.80696663333333,2.55338723333333,0.750078175,58.1129028333333
"Hintereisferner",1976,-0.314,-2.891799675,3.006341525,1.26088545833333,0.68994875,84.1128933333333
"Hintereisferner",1977,0.76,-1.934353875,3.41689358333333,1.69216329166667,0.70523395,81.9530225
"Hintereisferner",1978,0.411,-2.61883389166667,3.2089315,1.60260999416667,0.684022075,80.3402566666667
